nom_liste;nuance;voix;Annee;Election;Tour;Inscrits;Votants;Exprimes;Participation;Region;Code;Clef;Date
;LEXG;89935;2017;Presidentielles;2;368314;283690;248239;0.673987412913981;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;REM;166945;2017;Presidentielles;2;406311;311675;270870;0.6666568219910364;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;DVD;103925;2017;Presidentielles;2;406311;311675;270870;0.6666568219910364;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;DIV;88484;2017;Presidentielles;2;208691;163114;143554;0.6878782506193367;Normandie;28;Presidentielles22017;07/05/2017
;DVD;55070;2017;Presidentielles;2;208691;163114;143554;0.6878782506193367;Normandie;28;Presidentielles22017;07/05/2017
;DVG;176664;2017;Presidentielles;2;379038;296235;262790;0.6933077949968077;Normandie;28;Presidentielles22017;07/05/2017
;FN;86126;2017;Presidentielles;2;379038;296235;262790;0.6933077949968077;Normandie;28;Presidentielles22017;07/05/2017
;LDVD;158858;2017;Presidentielles;2;427522;330226;292275;0.6836490285880025;Normandie;28;Presidentielles22017;07/05/2017
;LDIV;133417;2017;Presidentielles;2;427522;330226;292275;0.6836490285880025;Normandie;28;Presidentielles22017;07/05/2017
;LVEC;232615;2017;Presidentielles;2;501062;391362;346617;0.6917646917946282;Normandie;28;Presidentielles22017;07/05/2017
;LUMP;114002;2017;Presidentielles;2;501062;391362;346617;0.6917646917946282;Normandie;28;Presidentielles22017;07/05/2017
;COM;355441;2017;Presidentielles;2;880756;669363;588298;0.6679466276698655;Normandie;28;Presidentielles22017;07/05/2017
;REG;232857;2017;Presidentielles;2;880756;669363;588298;0.6679466276698655;Normandie;28;Presidentielles22017;07/05/2017
;FG;133939;2017;Presidentielles;2;375791;285046;253141;0.6736217738051204;Hauts-de-France;32;Presidentielles22017;07/05/2017
;FN;119202;2017;Presidentielles;2;375791;285046;253141;0.6736217738051204;Hauts-de-France;32;Presidentielles22017;07/05/2017
;DIV;153326;2017;Presidentielles;2;408957;318369;282791;0.6914932376753546;Hauts-de-France;32;Presidentielles22017;07/05/2017
;DLF;129465;2017;Presidentielles;2;408957;318369;282791;0.6914932376753546;Hauts-de-France;32;Presidentielles22017;07/05/2017
;EXD;202509;2017;Presidentielles;2;561950;428251;380058;0.676319957291574;Hauts-de-France;32;Presidentielles22017;07/05/2017
;EXG;177549;2017;Presidentielles;2;561950;428251;380058;0.676319957291574;Hauts-de-France;32;Presidentielles22017;07/05/2017
;EXD;382782;2017;Presidentielles;2;1090441;828222;735340;0.6743510194499289;Hauts-de-France;32;Presidentielles22017;07/05/2017
;ECO;352558;2017;Presidentielles;2;1090441;828222;735340;0.6743510194499289;Hauts-de-France;32;Presidentielles22017;07/05/2017
;ECO;669806;2017;Presidentielles;2;1804404;1321471;1177240;0.6524259533895956;Hauts-de-France;32;Presidentielles22017;07/05/2017
;ECO;507434;2017;Presidentielles;2;1804404;1321471;1177240;0.6524259533895956;Hauts-de-France;32;Presidentielles22017;07/05/2017
;COM;45192;2017;Presidentielles;2;134119;102038;89523;0.6674893191866924;Grand Est;44;Presidentielles22017;07/05/2017
;SOC;44331;2017;Presidentielles;2;134119;102038;89523;0.6674893191866924;Grand Est;44;Presidentielles22017;07/05/2017
;ECO;48303;2017;Presidentielles;2;137552;106074;93570;0.6802518320344306;Grand Est;44;Presidentielles22017;07/05/2017
;FN;45267;2017;Presidentielles;2;137552;106074;93570;0.6802518320344306;Grand Est;44;Presidentielles22017;07/05/2017
;SOC;64424;2017;Presidentielles;2;194349;144463;126995;0.6534378875116414;Grand Est;44;Presidentielles22017;07/05/2017
;UG;62571;2017;Presidentielles;2;194349;144463;126995;0.6534378875116414;Grand Est;44;Presidentielles22017;07/05/2017
;DVG;75810;2017;Presidentielles;2;203800;158130;139990;0.6868989205103042;Grand Est;44;Presidentielles22017;07/05/2017
;UG;64180;2017;Presidentielles;2;203800;158130;139990;0.6868989205103042;Grand Est;44;Presidentielles22017;07/05/2017
;COM;106076;2017;Presidentielles;2;282532;219253;191970;0.6794628573046593;Grand Est;44;Presidentielles22017;07/05/2017
;LR;85894;2017;Presidentielles;2;282532;219253;191970;0.6794628573046593;Grand Est;44;Presidentielles22017;07/05/2017
;DIV;144840;2017;Presidentielles;2;381657;286507;254067;0.6656945896446286;Grand Est;44;Presidentielles22017;07/05/2017
;UDI;109227;2017;Presidentielles;2;381657;286507;254067;0.6656945896446286;Grand Est;44;Presidentielles22017;07/05/2017
;ECO;198750;2017;Presidentielles;2;495086;370227;327652;0.6618082514956998;Grand Est;44;Presidentielles22017;07/05/2017
;DVG;128902;2017;Presidentielles;2;495086;370227;327652;0.6618082514956998;Grand Est;44;Presidentielles22017;07/05/2017
;EXG;203599;2017;Presidentielles;2;526161;397361;351198;0.6674725036633273;Grand Est;44;Presidentielles22017;07/05/2017
;COM;147599;2017;Presidentielles;2;526161;397361;351198;0.6674725036633273;Grand Est;44;Presidentielles22017;07/05/2017
;DIV;282717;2017;Presidentielles;2;751246;549514;490314;0.6526677013920873;Grand Est;44;Presidentielles22017;07/05/2017
;REM;207597;2017;Presidentielles;2;751246;549514;490314;0.6526677013920873;Grand Est;44;Presidentielles22017;07/05/2017
;EXD;330941;2017;Presidentielles;2;766650;583401;524729;0.6844440096523837;Grand Est;44;Presidentielles22017;07/05/2017
;EXG;193788;2017;Presidentielles;2;766650;583401;524729;0.6844440096523837;Grand Est;44;Presidentielles22017;07/05/2017
;DLF;112192;2017;Presidentielles;2;222338;176103;155773;0.7006134803767238;Pays de la Loire;52;Presidentielles22017;07/05/2017
;COM;43581;2017;Presidentielles;2;222338;176103;155773;0.7006134803767238;Pays de la Loire;52;Presidentielles22017;07/05/2017
;FN;170153;2017;Presidentielles;2;405623;311124;268676;0.6623786126526355;Pays de la Loire;52;Presidentielles22017;07/05/2017
;FI;98523;2017;Presidentielles;2;405623;311124;268676;0.6623786126526355;Pays de la Loire;52;Presidentielles22017;07/05/2017
;FI;253914;2017;Presidentielles;2;514425;411277;362949;0.7055430820819362;Pays de la Loire;52;Presidentielles22017;07/05/2017
;DVG;109035;2017;Presidentielles;2;514425;411277;362949;0.7055430820819362;Pays de la Loire;52;Presidentielles22017;07/05/2017
;DIV;288817;2017;Presidentielles;2;569235;447667;396598;0.6967210378841779;Pays de la Loire;52;Presidentielles22017;07/05/2017
;DVD;107781;2017;Presidentielles;2;569235;447667;396598;0.6967210378841779;Pays de la Loire;52;Presidentielles22017;07/05/2017
;;525200;2017;Presidentielles;2;993413;778673;680553;0.6850655266238714;Pays de la Loire;52;Presidentielles22017;07/05/2017
;;155353;2017;Presidentielles;2;993413;778673;680553;0.6850655266238714;Pays de la Loire;52;Presidentielles22017;07/05/2017
;LFG;236953;2017;Presidentielles;2;455840;368170;322507;0.7075004387504388;Bretagne;53;Presidentielles22017;07/05/2017
;LFN;85554;2017;Presidentielles;2;455840;368170;322507;0.7075004387504388;Bretagne;53;Presidentielles22017;07/05/2017
;DVG;289594;2017;Presidentielles;2;576899;459670;404670;0.7014572741502412;Bretagne;53;Presidentielles22017;07/05/2017
;ECO;115076;2017;Presidentielles;2;576899;459670;404670;0.7014572741502412;Bretagne;53;Presidentielles22017;07/05/2017
;;371332;2017;Presidentielles;2;690439;545901;480222;0.695531393794383;Bretagne;53;Presidentielles22017;07/05/2017
;;108890;2017;Presidentielles;2;690439;545901;480222;0.695531393794383;Bretagne;53;Presidentielles22017;07/05/2017
;;403347;2017;Presidentielles;2;730055;581187;519289;0.7113012033339954;Bretagne;53;Presidentielles22017;07/05/2017
;;115942;2017;Presidentielles;2;730055;581187;519289;0.7113012033339954;Bretagne;53;Presidentielles22017;07/05/2017
;LDIV;39239;2017;Presidentielles;2;93122;71384;59667;0.6407401043792015;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;LDVG;20428;2017;Presidentielles;2;93122;71384;59667;0.6407401043792015;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;LDIV;88029;2017;Presidentielles;2;185245;147085;123984;0.6692974169343302;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;LUMP;35955;2017;Presidentielles;2;185245;147085;123984;0.6692974169343302;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;DIV;97418;2017;Presidentielles;2;240882;188619;163811;0.6800466618510308;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;DIV;66393;2017;Presidentielles;2;240882;188619;163811;0.6800466618510308;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;LDIV;113700;2017;Presidentielles;2;259951;199411;173616;0.6678797157925916;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;LFN;59916;2017;Presidentielles;2;259951;199411;173616;0.6678797157925916;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;DVD;126418;2017;Presidentielles;2;266309;209017;178181;0.6690761483840201;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;COM;51763;2017;Presidentielles;2;266309;209017;178181;0.6690761483840201;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;EXG;135827;2017;Presidentielles;2;272387;214802;189866;0.6970450131614211;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;DIV;54039;2017;Presidentielles;2;272387;214802;189866;0.6970450131614211;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;UDI;143712;2017;Presidentielles;2;306977;238266;208967;0.6807252660622782;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;FI;65255;2017;Presidentielles;2;306977;238266;208967;0.6807252660622782;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;;146619;2017;Presidentielles;2;310122;247309;213280;0.6877293452254274;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;;66661;2017;Presidentielles;2;310122;247309;213280;0.6877293452254274;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;LDVD;135533;2017;Presidentielles;2;313901;248144;210868;0.6717659389425329;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
;LDIV;75335;2017;Presidentielles;2;313901;248144;210868;0.6717659389425329;Nouvelle-Aquitaine;75;Presidentielles22017;07/05/2017
